* 52/04/06  514 Element X
  52/04/13  515 Prescription for Death
  52/04/20  516 Respected Citizen
* 52/04/27  517 Saturday Night
* 52/05/04  518 Lady in Waiting
* 52/05/11  519 A Matter of Odds
* 52/05/18  520 Determined Traveler
* 52/05/25  521 Charming Hostess
  52/06/01  522 A Case for Mister Carrington 
* 52/06/08  523 Man in the Way
* 52/06/15  524 Last Message
  52/06/22  525 The Way Out
* 52/06/29  526 Night Flight
* 52/07/06  527 Triple Play
  52/07/13  528 The Hunted
  52/07/20  529 Perfect Secretary
* 52/07/27  530 You Can't Trust a Stranger
* 52/08/03  531 Dark Island
* 52/08/10  532 The Havana Lee
  52/08/17  533 Nice Boy
* 52/08/24  534 Final Papers
  52/08/31  535 Flight 13
* 52/09/07  536 Secret of Chalk Point
  52/09/14  537 Framwork for Murder
  52/09/21  538 The Deal
  52/09/28  539 Reunion in Algiers
* 52/10/05  540 The Catalyst 
* 52/10/12  541 One Dark Night
* 52/10/19  542 The Prosecutor
  52/10/26  543 No Questions Asked
* 52/11/02  544 Perfect Alibi 
  52/11/09  545 Gentle Conspiracy
* 52/11/16  546 Mirage 
* 52/11/23  547 The Calculator
* 52/11/30  548 So Soon
  52/12/07  549 Appointment on the High Seas
  52/12/14  550 Smart Boy
* 52/12/21  551 Christmas Bonus 
* 52/12/28  552 The Dark Room 
  53/01/04  553 The Late Mister Phelps
  53/01/11  554 Smooth Operator
  53/01/18  555 Alias John Kordo
* 53/01/25  556 Search for an Unknown 
  53/02/01  557 Friction
  53/02/08  558 The Choice
  53/02/15  559 Eager Person
  53/02/22  560 End of the Trail
  53/03/01  561 Bushmaster
* 53/03/15  562 Attorney for the Defense 
  53/03/22  563 Evening Stroll 
  53/03/29  564 Return to Riondo 
  53/04/05  565 Black Satchell
  53/04/12  566 Impulse 
  53/04/26  567 Money Talks
* 53/05/03  568 Disappearing Woman
  53/05/10  569 Lady with a Key
  53/05/17  570 Berwick Incident
  53/05/24  571 When Old Friends Meet
  53/05/31  572 Hall of Mirrors
* 53/06/07  573 Blue Alibi
  53/06/14  574 Look in the Window
  53/06/21  575 Next Stop Maple Street
  53/06/28  576 Breakout
* 53/07/05  577 Glass Dime
  53/07/12  578 Act of Kindness
* 53/07/19  579 Silver Service
  53/07/26  580 Ten Cent Call
  53/08/02  581 Death of a Clown
  53/08/09  582 Kickback
  53/08/16  583 Curtain
  53/08/23  584 Red, Hot and Cold
  53/08/30  585 Gag Man
  53/09/06  586 Conspiracy at North River
  53/09/13  587 Seventh Year
  53/09/20  588 Two and One Makes Murder
  53/09/27  589 Roadblock
* 53/10/04  590 Death Claim
* 53/10/11  591 Ticket to Nowhere
* 53/10/18  592 Girl in Black
  53/10/25  593 Murder over Burma
  53/11/01  594 Lady with Plans
* 53/11/08  595 Impulse 
* 53/11/15  596 Fading Star
* 53/11/22  597 Perilous Meeting
* 53/11/29  598 Lady on a Yacht
* 53/12/06  599 Generous Host
  53/12/13  600 Rooftop Big Shot
* 53/12/20  601 The Huntress
* 53/12/27  602 Lonely Highway
  54/01/03  603 Squeeze Play
* 54/01/10  604 Fatal Fraud 
  54/01/17  605 The Set Up
* 54/01/24  606 Garvey's Folly
* 54/01/31  607 Dance Team
* 54/02/07  608 Man from Calais
  54/02/14  609 Helping Hand
  54/02/21  610 Forgotten City
* 54/02/28  611 Feature Story
* 54/03/07  612 Hudson Bay Incident
* 54/03/14  613 Escape to Doom
* 54/03/21  614 Perilous Weekend
* 54/03/28  615 Incident at Pebble Cove 
  54/04/04  616 Tell Tale Hedges
  54/04/11  617 Time and the Place
* 54/04/18  618 Days of Fear
* 54/04/25  619 Spell in Green 
  54/05/02  620 Cardboard Fortune
* 54/05/09  621 Gentlemen from Oxford
* 54/05/16  622 She Wanted Too Much
* 54/05/23  623 The Doll's Name Was Suzy
* 54/05/30  624 That Culerville Affair
* 54/06/06  625 Round Trip Tickets
* 54/06/13  626 Dark Pattern
  54/06/20  627 Thirteen Black
  54/06/27  628 Reluctant Witness
  54/07/04  629 Man on the Stairway
  54/07/11  630 Out of the Past
* 54/07/18  631 Mister Pettibone's Last Journey
* 54/07/25  632 Anything for a Friend
* 54/08/01  633 Borrowed Future
  54/08/08  634 Information Withheld
  54/08/15  635 Perilous Retainer
* 54/08/22  636 Traveling Companion
* 54/08/29  637 Quadrangle
  54/09/05  638 Smash-Up
  54/09/12  639 Landslide
* 54/09/19  640 Song Team
  54/09/26  641 End of the Road
* 54/10/03  642 Stolen Letter
  54/10/10  643 Beware of Strangers
* 54/10/17  644 Last Request
  54/10/24  645 The Pavilion
  54/10/31  646 The Hangtree Affair 
  54/11/07  647 Old Hackett House
  54/11/14  648 Murder at Twin Pines
  54/11/21  649 Clayton Affair
  54/11/28  650 Seattle Take Three
  54/12/05  651 Warm Reception
* 54/12/12  652 The Prosecutor
  54/12/19  653 Ticket to Murder 
  54/12/26  654 The Dark Room 
  55/01/02  655 Autumn Song
  55/01/09  656 Jackson Street Affair
  55/01/16  657 Flee from Evil
* 55/01/23  658 One Dark Night
  55/01/30  659 The Late Mister Phelps
* 55/02/06  660 Whirlpool 
* 55/02/13  661 Element X
* 55/02/20  662 Undercurrent
* 55/02/24  663 Bright Boy
* 55/03/03  664 The Alibi 
* 55/03/10  665 Seven Steps to Murder 
* 55/03/17  666 A Matter of Odds
* 55/03/24  667 Backfire 
* 55/03/31  668 The Ambassador
* 55/04/07  669 Search for an Unknown 
  55/04/14  670 Trip to Aunt Sarah's
